timestamp,ecg1,ecg2,ecg3
21235,220671,149806,14330
21275,220679,149804,14324
21315,220681,149801,14334
21355,220691,149813,14333
21395,220699,149809,14334
21435,220701,149806,14327
21475,220666,149802,14324
21515,220651,149785,14327
21555,220627,149772,14325
21595,220603,149754,14327
21635,220553,149742,14322
21675,220538,149728,14323
21715,220514,149726,14323
21755,220499,149722,14325
21795,220497,149721,14323
21835,220512,149733,14321
21875,220491,149721,14320
21915,220502,149723,14323
21955,220500,149730,14320
21995,220485,149747,14319
22035,220491,149729,14316
22075,220491,149732,14319
22115,220476,149735,14319
22155,220477,149728,14317
22195,220477,149732,14317
22235,220484,149732,14318
22275,220475,149725,14316
22315,220486,149742,14312
22355,220479,149727,14316
22395,220484,149722,14321
22435,220483,149729,14318
22475,220484,149725,14314
22515,220487,149733,14314
22555,220500,149738,14312
22595,220502,149735,14309
22635,220520,149743,14315
22675,220530,149735,14309
22715,220533,149743,14315
22755,220537,149741,14319
22795,220527,149741,14315
22835,220528,149738,14315
22875,220507,149732,14306
22915,220517,149745,14314
22955,220519,149732,14311
22995,220513,149721,14314
23035,220506,149734,14313
23075,220507,149728,14310
23115,220501,149731,14307
23155,220517,149731,14308
23195,220512,149728,14308
23235,220523,149734,14304
23275,220533,149734,14309
23315,220530,149738,14309
23355,220524,149733,14308
23395,220539,149736,14314
23435,220533,149739,14311
23475,220546,149740,14308
23515,220531,149740,14309
23555,220525,149744,14309